enrollee_id,city,city_development_index,relevent_experience,enrolled_university,education_level,experience,company_size,last_new_job,training_hours,target,training_hours_capped,education_level_encoded,relevent_experience_encoded,experience_encoded,company_size_encoded,last_new_job_encoded,enrolled_university_encoded,city_freq,major_discipline_Arts,major_discipline_Business Degree,major_discipline_Humanities,major_discipline_No Major,major_discipline_Other,major_discipline_STEM,major_discipline_Unknown,gender_Female,gender_Male,gender_Other,gender_Unknown,company_type_Early Stage Startup,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,company_type_Unknown
12726,city_114,0.926,No relevent experience,Part time course,High School,1,10000+,1,152,0.0,152.0,1,0,1,7,1.0,2,0.06973588057208477,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
10164,city_114,0.926,Has relevent experience,no_enrollment,Phd,>20,100-500,4,42,1.0,42.0,4,1,21,3,0.0,0,0.06973588057208477,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
8612,city_103,0.92,No relevent experience,no_enrollment,Graduate,12,Unknown,4,50,0.0,50.0,2,0,12,-1,0.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
24659,city_71,0.884,No relevent experience,no_enrollment,Unknown,3,Unknown,never,106,0.0,106.0,-1,0,3,-1,0.0,0,0.013884539095939034,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
2547,city_114,0.926,Has relevent experience,Full time course,Masters,16,1000-4999,2,14,0.0,14.0,3,1,16,5,2.0,1,0.06973588057208477,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
13854,city_104,0.924,Has relevent experience,no_enrollment,High School,4,10/49,2,36,0.0,36.0,1,1,4,1,2.0,0,0.01571145213487838,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
31654,city_21,0.624,Has relevent experience,no_enrollment,Masters,6,50-99,1,112,1.0,112.0,3,1,6,2,1.0,0,0.14103768660611754,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
13643,city_64,0.6659999999999999,No relevent experience,no_enrollment,Graduate,9,50-99,never,108,0.0,108.0,2,0,9,2,0.0,0,0.005950516755402443,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
5590,city_21,0.624,Has relevent experience,Part time course,Masters,9,5000-9999,3,7,1.0,7.0,3,1,9,6,3.0,2,0.14103768660611754,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
22452,city_21,0.624,No relevent experience,Full time course,Masters,5,Unknown,never,26,1.0,26.0,3,0,5,-1,0.0,1,0.14103768660611754,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
9006,city_21,0.624,Has relevent experience,no_enrollment,Graduate,5,100-500,never,87,1.0,87.0,2,1,5,3,0.0,0,0.14103768660611754,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
25987,city_103,0.92,Has relevent experience,no_enrollment,Graduate,19,10000+,4,52,1.0,52.0,2,1,19,7,0.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
4476,city_101,0.5579999999999999,Has relevent experience,no_enrollment,Graduate,15,Unknown,>4,20,1.0,20.0,2,1,15,-1,5.0,0,0.0039148136548700285,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
25103,city_83,0.923,Has relevent experience,no_enrollment,Graduate,11,10/49,1,21,0.0,21.0,2,1,11,1,1.0,0,0.0074642447019521874,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
5568,city_101,0.5579999999999999,No relevent experience,no_enrollment,Graduate,4,Unknown,1,92,1.0,92.0,2,0,4,-1,1.0,0,0.0039148136548700285,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
2195,city_64,0.6659999999999999,Has relevent experience,no_enrollment,Graduate,10,100-500,2,102,0.0,102.0,2,1,10,3,2.0,0,0.005950516755402443,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
30533,city_105,0.794,No relevent experience,no_enrollment,Graduate,5,10000+,>4,26,0.0,26.0,2,0,5,7,5.0,0,0.004123603716463096,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
28512,city_104,0.924,Has relevent experience,no_enrollment,Masters,3,<10,2,7,0.0,7.0,3,1,3,0,2.0,0,0.01571145213487838,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
1023,city_114,0.926,No relevent experience,Full time course,High School,4,10000+,1,43,0.0,43.0,1,0,4,7,1.0,1,0.06973588057208477,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
12253,city_104,0.924,Has relevent experience,no_enrollment,Graduate,>20,100-500,1,45,0.0,45.0,2,1,21,3,1.0,0,0.01571145213487838,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
25296,city_73,0.754,Has relevent experience,Full time course,Graduate,2,50-99,2,52,0.0,52.0,2,1,2,2,2.0,1,0.014615304311514771,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
13238,city_103,0.92,Has relevent experience,no_enrollment,Graduate,>20,Unknown,2,19,0.0,19.0,2,1,21,-1,2.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
13478,city_21,0.624,Has relevent experience,Full time course,Graduate,2,10/49,Unknown,32,1.0,32.0,2,1,2,1,-1.0,1,0.14103768660611754,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
18578,city_162,0.767,Has relevent experience,no_enrollment,Graduate,>20,100-500,>4,26,1.0,26.0,2,1,21,3,5.0,0,0.006681281970978181,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
29975,city_67,0.855,Has relevent experience,Part time course,Graduate,6,Unknown,1,90,0.0,90.0,2,1,6,-1,1.0,2,0.022497129136653096,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
26516,city_75,0.939,Has relevent experience,no_enrollment,Graduate,6,100-500,3,25,0.0,25.0,2,1,6,3,3.0,0,0.015920242196471448,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
24690,city_41,0.8270000000000001,Has relevent experience,Unknown,Masters,13,<10,1,15,0.0,15.0,3,1,13,0,1.0,-1,0.004645578870445767,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
8433,city_100,0.887,Has relevent experience,no_enrollment,Masters,>20,100-500,>4,48,0.0,48.0,3,1,21,3,5.0,0,0.014354316734523438,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
9572,city_11,0.55,No relevent experience,Full time course,High School,3,Unknown,Unknown,98,0.0,98.0,1,0,3,-1,-1.0,1,0.01289278630337196,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
5878,city_93,0.865,Has relevent experience,no_enrollment,Graduate,10,50-99,2,142,1.0,142.0,2,1,10,2,2.0,0,0.0013571354003549432,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
25695,city_67,0.855,No relevent experience,no_enrollment,Masters,4,10000+,4,13,0.0,13.0,3,0,4,7,0.0,0,0.022497129136653096,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
9645,city_16,0.91,Has relevent experience,no_enrollment,Graduate,15,Unknown,>4,47,0.0,47.0,2,1,15,-1,5.0,0,0.08001879110554337,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
12730,city_16,0.91,Has relevent experience,no_enrollment,Masters,14,500-999,1,28,0.0,28.0,3,1,14,4,1.0,0,0.08001879110554337,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4830,city_90,0.698,No relevent experience,Unknown,Unknown,2,Unknown,never,228,1.0,185.5,-1,0,2,-1,0.0,-1,0.010282910533458608,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
20970,city_64,0.6659999999999999,Has relevent experience,no_enrollment,Graduate,>20,Unknown,4,22,0.0,22.0,2,1,21,-1,0.0,0,0.005950516755402443,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
17271,city_21,0.624,No relevent experience,Full time course,Graduate,<1,Unknown,never,18,1.0,18.0,2,0,0,-1,0.0,1,0.14103768660611754,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
12731,city_13,0.8270000000000001,Has relevent experience,no_enrollment,Graduate,2,10/49,1,29,0.0,29.0,2,1,2,1,1.0,0,0.002505480739116818,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
10908,city_67,0.855,Has relevent experience,no_enrollment,Masters,5,100-500,1,46,0.0,46.0,3,1,5,3,1.0,0,0.022497129136653096,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
29117,city_11,0.55,No relevent experience,Full time course,Graduate,<1,Unknown,never,12,0.0,12.0,2,0,0,-1,0.0,1,0.01289278630337196,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
3686,city_103,0.92,Has relevent experience,no_enrollment,Graduate,5,100-500,2,17,0.0,17.0,2,1,5,3,2.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
22683,city_36,0.893,Has relevent experience,no_enrollment,Masters,5,50-99,2,65,0.0,65.0,3,1,5,2,2.0,0,0.008351602463722727,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
22134,city_103,0.92,No relevent experience,no_enrollment,Graduate,3,100-500,1,35,0.0,35.0,2,0,3,3,1.0,0,0.22732017955945297,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
31765,city_67,0.855,No relevent experience,Full time course,Graduate,9,10000+,3,14,0.0,14.0,2,0,9,7,3.0,1,0.022497129136653096,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
31449,city_103,0.92,Has relevent experience,no_enrollment,Masters,2,<10,1,4,0.0,4.0,3,1,2,0,1.0,0,0.22732017955945297,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
5987,city_103,0.92,Has relevent experience,no_enrollment,Graduate,15,50-99,>4,12,0.0,12.0,2,1,15,2,5.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
21762,city_160,0.92,Has relevent experience,no_enrollment,Graduate,>20,50-99,2,108,0.0,108.0,2,1,21,2,2.0,0,0.04410690051153565,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
22070,city_103,0.92,No relevent experience,no_enrollment,Graduate,>20,Unknown,1,136,0.0,136.0,2,0,21,-1,1.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
25413,city_103,0.92,Has relevent experience,no_enrollment,Graduate,5,10/49,1,27,0.0,27.0,2,1,5,1,1.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
5902,city_20,0.7959999999999999,Has relevent experience,Part time course,Masters,4,50-99,1,74,0.0,74.0,3,1,4,2,1.0,2,0.0015137279465497443,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
28403,city_71,0.884,Has relevent experience,no_enrollment,Graduate,15,10/49,1,86,0.0,86.0,2,1,15,1,1.0,0,0.013884539095939034,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
30937,city_57,0.866,No relevent experience,Part time course,Graduate,<1,10/49,2,83,0.0,83.0,2,0,0,1,2.0,2,0.005376344086021506,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
28751,city_103,0.92,No relevent experience,Full time course,High School,4,Unknown,3,75,0.0,75.0,1,0,4,-1,3.0,1,0.22732017955945297,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
29290,city_152,0.698,No relevent experience,Full time course,Masters,11,Unknown,2,42,0.0,42.0,3,0,11,-1,2.0,1,0.002662073285311619,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
32401,city_103,0.92,Has relevent experience,no_enrollment,Graduate,6,100-500,1,332,0.0,185.5,2,1,6,3,1.0,0,0.22732017955945297,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
19128,city_61,0.913,No relevent experience,Full time course,Graduate,4,Unknown,Unknown,140,0.0,140.0,2,0,4,-1,-1.0,1,0.010282910533458608,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
29036,city_16,0.91,No relevent experience,no_enrollment,High School,3,Unknown,never,182,0.0,182.0,1,0,3,-1,0.0,0,0.08001879110554337,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
16869,city_103,0.92,No relevent experience,no_enrollment,Graduate,3,100-500,1,13,1.0,13.0,2,0,3,3,1.0,0,0.22732017955945297,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
10497,city_19,0.682,Has relevent experience,no_enrollment,Graduate,5,10/49,2,172,1.0,172.0,2,1,5,1,2.0,0,0.006211504332393778,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
18099,city_103,0.92,Has relevent experience,no_enrollment,Graduate,10,100-500,1,48,0.0,48.0,2,1,10,3,1.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
12081,city_65,0.802,Has relevent experience,Full time course,Graduate,9,50-99,1,33,0.0,33.0,2,1,9,2,1.0,1,0.009134565194696732,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
7364,city_160,0.92,No relevent experience,Full time course,High School,2,100-500,1,142,0.0,142.0,1,0,2,3,1.0,1,0.04410690051153565,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
11184,city_74,0.579,No relevent experience,Full time course,Graduate,2,100-500,1,34,0.0,34.0,2,0,2,3,1.0,1,0.005428541601419773,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
7016,city_65,0.802,Has relevent experience,no_enrollment,Graduate,6,50-99,2,14,1.0,14.0,2,1,6,2,2.0,0,0.009134565194696732,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
8695,city_11,0.55,Has relevent experience,no_enrollment,Graduate,6,10/49,2,27,1.0,27.0,2,1,6,1,2.0,0,0.01289278630337196,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
6172,city_11,0.55,Has relevent experience,no_enrollment,Graduate,8,100-500,1,24,1.0,24.0,2,1,8,3,1.0,0,0.01289278630337196,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
14672,city_173,0.878,No relevent experience,no_enrollment,Masters,>20,Unknown,1,150,0.0,150.0,3,0,21,-1,1.0,0,0.007881824825138323,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
18257,city_103,0.92,Has relevent experience,no_enrollment,Graduate,11,500-999,>4,20,0.0,20.0,2,1,11,4,5.0,0,0.22732017955945297,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
24493,city_103,0.92,Has relevent experience,no_enrollment,Graduate,5,500-999,1,140,0.0,140.0,2,1,5,4,1.0,0,0.22732017955945297,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
1180,city_16,0.91,Has relevent experience,no_enrollment,Graduate,12,5000-9999,1,52,0.0,52.0,2,1,12,6,1.0,0,0.08001879110554337,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
28627,city_75,0.939,Has relevent experience,no_enrollment,Graduate,>20,50-99,2,160,0.0,160.0,2,1,21,2,2.0,0,0.015920242196471448,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
8168,city_136,0.897,Has relevent experience,no_enrollment,Masters,9,5000-9999,2,3,0.0,3.0,3,1,9,6,2.0,0,0.030587744023384485,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
10473,city_21,0.624,Has relevent experience,no_enrollment,Graduate,2,<10,2,2,1.0,2.0,2,1,2,0,2.0,0,0.14103768660611754,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
25349,city_16,0.91,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,>4,28,0.0,28.0,2,1,21,5,5.0,0,0.08001879110554337,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
5220,city_73,0.754,Has relevent experience,no_enrollment,Graduate,>20,Unknown,4,46,0.0,46.0,2,1,21,-1,0.0,0,0.014615304311514771,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
4789,city_67,0.855,Has relevent experience,no_enrollment,Graduate,8,50-99,1,210,0.0,185.5,2,1,8,2,1.0,0,0.022497129136653096,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
11338,city_114,0.926,Has relevent experience,no_enrollment,Graduate,10,<10,1,36,0.0,36.0,2,1,10,0,1.0,0,0.06973588057208477,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
27963,city_98,0.949,No relevent experience,Full time course,Graduate,4,Unknown,1,160,1.0,160.0,2,0,4,-1,1.0,1,0.004123603716463096,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
8571,city_21,0.624,Has relevent experience,Full time course,Graduate,2,10/49,2,101,0.0,101.0,2,1,2,1,2.0,1,0.14103768660611754,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
16303,city_114,0.926,Has relevent experience,no_enrollment,Masters,6,50-99,1,46,0.0,46.0,3,1,6,2,1.0,0,0.06973588057208477,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
20576,city_97,0.925,Has relevent experience,no_enrollment,Graduate,>20,1000-4999,>4,19,0.0,19.0,2,1,21,5,5.0,0,0.005428541601419773,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
32966,city_21,0.624,Has relevent experience,no_enrollment,Graduate,3,100-500,2,26,1.0,26.0,2,1,3,3,2.0,0,0.14103768660611754,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
21199,city_90,0.698,Has relevent experience,Full time course,Graduate,7,<10,1,90,0.0,90.0,2,1,7,0,1.0,1,0.010282910533458608,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
18819,city_50,0.8959999999999999,Has relevent experience,no_enrollment,Graduate,9,<10,4,59,0.0,59.0,2,1,9,0,0.0,0,0.007307652155757386,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
14199,city_160,0.92,Has relevent experience,Part time course,Graduate,10,50-99,1,260,0.0,185.5,2,1,10,2,1.0,2,0.04410690051153565,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
7666,city_21,0.624,Has relevent experience,no_enrollment,Graduate,11,50-99,>4,74,0.0,74.0,2,1,11,2,5.0,0,0.14103768660611754,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
13915,city_16,0.91,Has relevent experience,no_enrollment,Phd,>20,100-500,2,20,1.0,20.0,4,1,21,3,2.0,0,0.08001879110554337,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
10555,city_173,0.878,Has relevent experience,no_enrollment,Graduate,12,100-500,2,8,0.0,8.0,2,1,12,3,2.0,0,0.007881824825138323,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
